type, ID, parentID, startX, startY, startZ, endX, endY, endZ, radius, volume, growthVolume, length, growthLength, vesselVolume, distanceToTwig, FittingType, averagePointDistance, maxPointDistance, qualityFlag,segmentID, parentSegmentID, segmentMedianRadius, segmentGrowthVolume, segmentGrowthLength, branchOrder, reverseBranchOrder, reversePipeRadiusBranchorder, reversePipeAreaBranchorder, branchID, treeID, treeSpecies, translateX, translateY, translatez, gvA, gvB, gvC, glA, glB, glC
cylinder, 21, 20, 0.782559, -16.311144, 254.922387, 0.782579, -16.307816, 254.967451, 0.038703, 0.000213, 0.024299, 0.045187, 30.387396, 164.886279, 3.281710, SPHEREFOLLOWING, 0.001781, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 22, 21, 0.782579, -16.307816, 254.967451, 0.783071, -16.300902, 255.012691, 0.038331, 0.000211, 0.024086, 0.045767, 30.342209, 161.768385, 3.236523, SPHEREFOLLOWING, 0.002340, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 23, 22, 0.783071, -16.300902, 255.012691, 0.784397, -16.294829, 255.056833, 0.037998, 0.000202, 0.023875, 0.044578, 30.296442, 158.610446, 3.190755, SPHEREFOLLOWING, 0.002024, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 24, 23, 0.784397, -16.294829, 255.056833, 0.784437, -16.291462, 255.101067, 0.038230, 0.000204, 0.023672, 0.044362, 30.251864, 155.534570, 3.146178, SPHEREFOLLOWING, 0.002694, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 25, 24, 0.784437, -16.291462, 255.101067, 0.787046, -16.284750, 255.146021, 0.037987, 0.000206, 0.023469, 0.045527, 30.207502, 152.473593, 3.101816, SPHEREFOLLOWING, 0.002373, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 26, 25, 0.787046, -16.284750, 255.146021, 0.791923, -16.279669, 255.189777, 0.039289, 0.000215, 0.023262, 0.044319, 30.161975, 149.332252, 3.056289, SPHEREFOLLOWING, 0.002970, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 27, 26, 0.791923, -16.279669, 255.189777, 0.804253, -16.274945, 255.231498, 0.042914, 0.000253, 0.023047, 0.043761, 30.117656, 146.274234, 3.011970, SPHEREFOLLOWING, 0.005892, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 28, 27, 0.804253, -16.274945, 255.231498, 0.786733, -16.269111, 255.283806, 0.036944, 0.000238, 0.021577, 0.055472, 28.148864, 138.795914, 2.968208, SPHEREFOLLOWING, 0.005599, 0.003482, 1, 1, 0, 0.036628, 0.020792, 27.961274, 0, 17, 8.000000, 64, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 29, 28, 0.786733, -16.269111, 255.283806, 0.784084, -16.268834, 255.327407, 0.036546, 0.000183, 0.021339, 0.043681, 28.093392, 135.245706, 2.912736, SPHEREFOLLOWING, 0.003766, 0.003482, 1, 1, 0, 0.036628, 0.020792, 27.961274, 0, 17, 8.000000, 64, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 30, 29, 0.784084, -16.268834, 255.327407, 0.787762, -16.262098, 255.370843, 0.035949, 0.000179, 0.021156, 0.044109, 28.049710, 132.450102, 2.869055, SPHEREFOLLOWING, 0.002257, 0.003482, 1, 1, 0, 0.036628, 0.020792, 27.961274, 0, 17, 8.000000, 64, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
